0: kd> dqs win32kbase!gDxgkInterface L1000
ffff9d25`eb755fd0  00000000`00260890
ffff9d25`eb756420  fffff80d`1d3e82b0 dxgkrnl!DxgkSetContextInProcessSchedulingPriority
ffff9d25`eb756428  fffff80d`1d4de520 dxgkrnl!DxgkGetContextInProcessSchedulingPriority
ffff9d25`eb756430  fffff80d`1d4fbce0 dxgkrnl!DxgkOpenSyncObjectFromNtHandle
ffff9d25`eb756438  fffff80d`1d4fc120 dxgkrnl!DxgkOpenSyncObjectFromNtHandle2
ffff9d25`eb756440  fffff80d`1d508fc0 dxgkrnl!DxgkRegisterDwmProcess
ffff9d25`eb756448  fffff80d`1d4bc9a0 dxgkrnl!DxgkGetSharedResourceAdapterLuid
ffff9d25`eb756450  fffff80d`1d4f2220 dxgkrnl!DxgkSetStereoEnabled
ffff9d25`eb756458  fffff80d`1d508010 dxgkrnl!DxgkGetCachedHybridQueryValue
ffff9d25`eb756460  fffff80d`1d507e10 dxgkrnl!DxgkCacheHybridQueryValue
ffff9d25`eb756468  fffff80d`1d52bb30 dxgkrnl!DxgkPresentMultiPlaneOverlay
ffff9d25`eb756470  fffff80d`1d4ac6c0 dxgkrnl!DxgkNotifyMonitorDimming
ffff9d25`eb756478  fffff80d`1d43ad20 dxgkrnl!DxgkGetSharedAllocationObjectType
ffff9d25`eb756480  fffff80d`1d443260 dxgkrnl!DxgkGetSharedSyncObjectType
ffff9d25`eb756488  fffff80d`1d4b7ae0 dxgkrnl!DxgkNetDispGetNextChunkInfo
ffff9d25`eb756490  fffff80d`1d440fc0 dxgkrnl!DxgkNetDispQueryMiracastDisplayDeviceSupport
ffff9d25`eb756498  fffff80d`1d4b8020 dxgkrnl!DxgkNetDispStartMiracastDisplayDevice
ffff9d25`eb7564a0  fffff80d`1d4b8230 dxgkrnl!DxgkNetDispStopMiracastDisplayDevice
ffff9d25`eb7564a8  fffff80d`1d4b7e40 dxgkrnl!DxgkNetDispQueryMiracastDisplayDeviceStatus
ffff9d25`eb7564b0  fffff80d`1d453a10 dxgkrnl!DxgkGetPresentStats
ffff9d25`eb7564b8  fffff80d`1d4dd0d0 dxgkrnl!DxgkCheckMultiPlaneOverlaySupport
ffff9d25`eb7564c0  fffff80d`1d4f1b70 dxgkrnl!DxgkGetProcessInterferenceCount
ffff9d25`eb7564c8  fffff80d`1d43ef10 dxgkrnl!DxgkGetGpuUsageStatistics
ffff9d25`eb7564d0  fffff80d`1d3ebb20 dxgkrnl!DxgkUpdateGdiInfo
ffff9d25`eb7564d8  fffff80d`1d442e80 dxgkrnl!DxgkSetPresenterViewMode
ffff9d25`eb7564e0  fffff80d`1d443090 dxgkrnl!DxgkGetPresenterViewMode
ffff9d25`eb7564e8  fffff80d`1d43c6b0 dxgkrnl!DxgkMakeResident
ffff9d25`eb7564f0  fffff80d`1d43be60 dxgkrnl!DxgkEvict
ffff9d25`eb7564f8  fffff80d`1d4fe660 dxgkrnl!DxgkUpdateAllocationProperty
ffff9d25`eb756500  fffff80d`1d3f0e30 dxgkrnl!DxgkWaitForSynchronizationObjectFromCpu
ffff9d25`eb756508  fffff80d`1d512fc0 dxgkrnl!DxgkSignalSynchronizationObjectFromCpu
ffff9d25`eb756510  fffff80d`1d4475a0 dxgkrnl!DxgkWaitForSynchronizationObjectFromGpu
ffff9d25`eb756518  fffff80d`1d45afd0 dxgkrnl!DxgkSignalSynchronizationObjectFromGpu
ffff9d25`eb756520  fffff80d`1d42b180 dxgkrnl!DxgkCreatePagingQueue
ffff9d25`eb756528  fffff80d`1d43c850 dxgkrnl!DxgkDestroyPagingQueue
ffff9d25`eb756530  fffff80d`1d41a270 dxgkrnl!DxgkLock2
ffff9d25`eb756538  fffff80d`1d41f220 dxgkrnl!DxgkUnlock2
ffff9d25`eb756540  fffff80d`1d4be1c0 dxgkrnl!DxgkInvalidateCache
ffff9d25`eb756548  fffff80d`1d4340f0 dxgkrnl!DxgkMapGpuVirtualAddress
ffff9d25`eb756550  fffff80d`1d43e210 dxgkrnl!DxgkFreeGpuVirtualAddress
ffff9d25`eb756558  fffff80d`1d4413d0 dxgkrnl!DxgkReserveGpuVirtualAddress
ffff9d25`eb756560  fffff80d`1d4bd390 dxgkrnl!DxgkUpdateGpuVirtualAddress
ffff9d25`eb756568  fffff80d`1d42b440 dxgkrnl!DxgkCreateContextVirtual
ffff9d25`eb756570  fffff80d`1d40c120 dxgkrnl!DxgkSubmitCommand
ffff9d25`eb756578  fffff80d`1d40b210 dxgkrnl!DxgkDestroyAllocation2
ffff9d25`eb756580  fffff80d`1d41aa60 dxgkrnl!DxgkSignalSynchronizationObjectFromGpu2
ffff9d25`eb756588  fffff80d`1d3e90f0 dxgkrnl!DxgkQueryVideoMemoryInfo
ffff9d25`eb756590  fffff80d`1d4bbb80 dxgkrnl!DxgkChangeVideoMemoryReservation
ffff9d25`eb756598  fffff80d`1d43cb10 dxgkrnl!DxgkSetProcessStatus
ffff9d25`eb7565a0  fffff80d`1d530ca0 dxgkrnl!DxgkCreateSwapChain
ffff9d25`eb7565a8  fffff80d`1d531630 dxgkrnl!DxgkOpenSwapChain
ffff9d25`eb7565b0  fffff80d`1d530930 dxgkrnl!DxgkAddSurfaceToSwapChain
ffff9d25`eb7565b8  fffff80d`1d531ff0 dxgkrnl!DxgkRemoveSurfaceFromSwapChain
ffff9d25`eb7565c0  fffff80d`1d532270 dxgkrnl!DxgkUnOrderedPresentSwapChain
ffff9d25`eb7565c8  fffff80d`1d5304a0 dxgkrnl!DxgkAcquireSwapChain
ffff9d25`eb7565d0  fffff80d`1d531ca0 dxgkrnl!DxgkReleaseSwapChain
ffff9d25`eb7565d8  fffff80d`1d531430 dxgkrnl!DxgkGetSetSwapChainMetadata
ffff9d25`eb7565e0  fffff80d`1d530330 dxgkrnl!DxgkAbandonSwapChain
ffff9d25`eb7565e8  fffff80d`1d4b9360 dxgkrnl!DxgkSetDodIndirectSwapchain
ffff9d25`eb7565f0  fffff80d`1d4dd5e0 dxgkrnl!DxgkCheckMultiPlaneOverlaySupport2
ffff9d25`eb7565f8  fffff80d`1d52c190 dxgkrnl!DxgkPresentMultiPlaneOverlay2
ffff9d25`eb756600  fffff80d`1d432cb0 dxgkrnl!DxgkReclaimAllocations2
ffff9d25`eb756608  fffff80d`1d4bc500 dxgkrnl!DxgkGetResourcePresentPrivateDriverData
ffff9d25`eb756610  fffff80d`1d509a80 dxgkrnl!DxgkSetStablePowerState
ffff9d25`eb756618  fffff80d`1d4b86b0 dxgkrnl!DxgkQueryClockCalibration
ffff9d25`eb756620  fffff80d`1d4241b0 dxgkrnl!DxgkConvertLegacyQDCAdapterAndIdToActual
ffff9d25`eb756628  fffff80d`1d45a3b0 dxgkrnl!DxgkDisplayOnOff
ffff9d25`eb756630  fffff80d`1d4283d0 dxgkrnl!DxgkIsVirtualizationDisabledForTarget
ffff9d25`eb756638  fffff80d`1d442cc0 dxgkrnl!DxgkIsSourceInHardwareClone
ffff9d25`eb756640  fffff80d`1d45a7b0 dxgkrnl!DxgkQueryVidPnExclusiveOwnership
ffff9d25`eb756648  fffff80d`1d51d2d0 dxgkrnl!DxgkProcessLockScreen
ffff9d25`eb756650  fffff80d`1d513d60 dxgkrnl!DxgkCopyPathsModality
ffff9d25`eb756658  fffff80d`1d45c3c0 dxgkrnl!DxgkApplyCdsjToPathsModality
ffff9d25`eb756660  fffff80d`1d52d640 dxgkrnl!DxgkUpdateDpiInfoForNewOverride
ffff9d25`eb756668  fffff80d`1d52d620 dxgkrnl!DxgkInitializeDpi
ffff9d25`eb756670  fffff80d`1d52d560 dxgkrnl!DxgkGetDpiOverrideForSource
ffff9d25`eb756678  fffff80d`1d4b6df0 dxgkrnl!DxgkAdjustFullscreenGamma
ffff9d25`eb756680  fffff80d`1d533780 dxgkrnl!DxgkGetLegacyDpiInfo
ffff9d25`eb756688  fffff80d`1d4ffef0 dxgkrnl!DxgkWin32kSetPointerPosition
ffff9d25`eb756690  fffff80d`1d500030 dxgkrnl!DxgkWin32kSetPointerShape
ffff9d25`eb756698  fffff80d`1d4b97b0 dxgkrnl!DxgkSetVidPnSourceHwProtection
ffff9d25`eb7566a0  fffff80d`1d3e6ec0 dxgkrnl!DxgkMarkDeviceAsError
ffff9d25`eb7566a8  fffff80d`1d43d5c0 dxgkrnl!DxgkFlushHeapTransitions
ffff9d25`eb7566b0  fffff80d`1d4b5b30 dxgkrnl!DxgkHmdDisplayEnum
ffff9d25`eb7566b8  fffff80d`1d4b5af0 dxgkrnl!DxgkHmdDisplayControl
ffff9d25`eb7566c0  fffff80d`1d439920 dxgkrnl!DxgkQueryProcessOfferInfo
ffff9d25`eb7566c8  fffff80d`1d50a1f0 dxgkrnl!DxgkTrimProcessCommitment
ffff9d25`eb7566d0  fffff80d`1d4ddb20 dxgkrnl!DxgkCheckMultiPlaneOverlaySupport3
ffff9d25`eb7566d8  fffff80d`1d52c7f0 dxgkrnl!DxgkPresentMultiPlaneOverlay3
ffff9d25`eb7566e0  fffff80d`1d520f30 dxgkrnl!DxgkGetUseHWGPUInRemoteSession
ffff9d25`eb7566e8  fffff80d`1d4f7a70 dxgkrnl!DxgkLPMDisplayControl
ffff9d25`eb7566f0  fffff80d`1d4f79e0 dxgkrnl!DxgkEnableHighPrecisionBrightness
ffff9d25`eb7566f8  fffff80d`1d4f7b70 dxgkrnl!DxgkSetHighPrecisionBrightness
ffff9d25`eb756700  fffff80d`1d452660 dxgkrnl!DXGADAPTER::DefaultDdiControlModeBehavior
ffff9d25`eb756708  fffff80d`1d452660 dxgkrnl!DXGADAPTER::DefaultDdiControlModeBehavior
ffff9d25`eb756710  fffff80d`1d4b7310 dxgkrnl!DxgkChangeD3RequestsState
ffff9d25`eb756718  fffff80d`1d5172a0 dxgkrnl!DxgkGetMonitorEdid
ffff9d25`eb756720  fffff80d`1d4526a0 dxgkrnl!DxgkCreateHwContext
ffff9d25`eb756728  fffff80d`1d4526a0 dxgkrnl!DxgkCreateHwContext
ffff9d25`eb756730  fffff80d`1d4f5050 dxgkrnl!DxgkCreateHwQueue
ffff9d25`eb756738  fffff80d`1d4f5570 dxgkrnl!DxgkDestroyHwQueue
ffff9d25`eb756740  fffff80d`1d4f57c0 dxgkrnl!DxgkSubmitCommandToHwQueue
ffff9d25`eb756748  fffff80d`1d4f7230 dxgkrnl!DxgkSubmitWaitForSyncObjectsToHwQueue
ffff9d25`eb756750  fffff80d`1d4f7210 dxgkrnl!DxgkSubmitSignalSyncObjectsToHwQueue
ffff9d25`eb756758  fffff80d`1d4bc210 dxgkrnl!DxgkGetAllocationPriority
ffff9d25`eb756760  fffff80d`1d43ce90 dxgkrnl!DxgkGetMultiPlaneOverlayCaps
ffff9d25`eb756768  fffff80d`1d43d900 dxgkrnl!DxgkGetPostCompositionCaps
ffff9d25`eb756770  fffff80d`1d509f50 dxgkrnl!DxgkSetYieldPercentage
ffff9d25`eb756778  fffff80d`1d509620 dxgkrnl!DxgkSetProcessSchedulingPriorityBand
ffff9d25`eb756780  fffff80d`1d5091f0 dxgkrnl!DxgkSetMemoryBudgetTarget
ffff9d25`eb756788  fffff80d`1d508c60 dxgkrnl!DxgkGetYieldPercentage
ffff9d25`eb756790  fffff80d`1d508740 dxgkrnl!DxgkGetProcessSchedulingPriorityBand
ffff9d25`eb756798  fffff80d`1d508190 dxgkrnl!DxgkGetMemoryBudgetTarget
ffff9d25`eb7567a0  fffff80d`1d5170c0 dxgkrnl!DxgkConvertPathsModalityToDisplayConfig
ffff9d25`eb7567a8  fffff80d`1d3fbdb0 dxgkrnl!DxgkConvertDisplayConfigToDevMode
ffff9d25`eb7567b0  fffff80d`1d45b0c0 dxgkrnl!DxgkDDisplayEnum
ffff9d25`eb7567b8  fffff80d`1d45bae0 dxgkrnl!DxgkDispMgrCreate
ffff9d25`eb7567c0  fffff80d`1d534750 dxgkrnl!DxgkDispMgrTargetOperation
ffff9d25`eb7567c8  fffff80d`1d5345e0 dxgkrnl!DxgkDispMgrSourceOperation
ffff9d25`eb7567d0  fffff80d`1d50ab90 dxgkrnl!DxgkCreateProtectedSession
ffff9d25`eb7567d8  fffff80d`1d50b480 dxgkrnl!DxgkDestroyProtectedSession
ffff9d25`eb7567e0  fffff80d`1d50bdc0 dxgkrnl!DxgkQueryProtectedSessionStatus
ffff9d25`eb7567e8  fffff80d`1d50ba30 dxgkrnl!DxgkQueryProtectedSessionInfoFromNtHandle
ffff9d25`eb7567f0  fffff80d`1d50b6e0 dxgkrnl!DxgkOpenProtectedSessionFromNtHandle
ffff9d25`eb7567f8  fffff80d`1d4a8260 dxgkrnl!DxgkSetMonitorColorSpaceTransform
ffff9d25`eb756800  fffff80d`1d504f70 dxgkrnl!DxgkPresentRedirected
ffff9d25`eb756808  fffff80d`1d4fa280 dxgkrnl!DxgkCreateBundleObject
ffff9d25`eb756810  fffff80d`1d4fade0 dxgkrnl!DxgkExtractBundleObject
ffff9d25`eb756818  fffff80d`1d517270 dxgkrnl!DxgkGetMonitorDisplayId
ffff9d25`eb756820  fffff80d`1d509490 dxgkrnl!DxgkSetProcessDeviceRemovalSupport
ffff9d25`eb756828  fffff80d`1d5084e0 dxgkrnl!DxgkGetProcessDeviceRemovalSupport
ffff9d25`eb756830  fffff80d`1d513df0 dxgkrnl!DxgkEnumerateModesForPathsModality
ffff9d25`eb756838  fffff80d`1d4fb840 dxgkrnl!DxgkOpenKeyedMutexFromNtHandle
ffff9d25`eb756840  fffff80d`1d4b4930 dxgkrnl!DxgCreateLiveDumpWithWdLogs
ffff9d25`eb756848  fffff80d`1d534530 dxgkrnl!DxgkDispMgrReferenceObjectByHandle
ffff9d25`eb756850  fffff80d`1d534510 dxgkrnl!DxgkDispMgrIsTargetOwned
ffff9d25`eb756858  fffff80d`1d53b650 dxgkrnl!DxgkCheckDisplayState

