1: kd> dqs win32kbase!gDxgkInterface L1000
ffffe25a`69d83570  00000000`00280888
ffffe25a`69d83c50  fffff802`2f96e180 dxgkrnl!DxgkQueryProcessOfferInfo
ffffe25a`69d83c58  fffff802`2fa80f40 dxgkrnl!DxgkTrimProcessCommitment
ffffe25a`69d83c60  fffff802`2fa55f40 dxgkrnl!DxgkCheckMultiPlaneOverlaySupport3
ffffe25a`69d83c68  fffff802`2faa3550 dxgkrnl!DxgkPresentMultiPlaneOverlay3
ffffe25a`69d83c70  fffff802`2f9810a0 dxgkrnl!DxgkGetUseHWGPUInRemoteSession
ffffe25a`69d83c78  fffff802`2fa6f8f0 dxgkrnl!DxgkLPMDisplayControl
ffffe25a`69d83c80  fffff802`2fa6f840 dxgkrnl!DxgkEnableHighPrecisionBrightness
ffffe25a`69d83c88  fffff802`2fa6fa10 dxgkrnl!DxgkSetHighPrecisionBrightness
ffffe25a`69d83c90  fffff802`2f979a00 dxgkrnl!DXGADAPTER::DefaultDdiControlModeBehavior
ffffe25a`69d83c98  fffff802`2f979a00 dxgkrnl!DXGADAPTER::DefaultDdiControlModeBehavior
ffffe25a`69d83ca0  fffff802`2f980fd0 dxgkrnl!DxgkChangeD3RequestsState
ffffe25a`69d83ca8  fffff802`2fa90320 dxgkrnl!DxgkGetMonitorEdid
ffffe25a`69d83cb0  fffff802`2f979a60 dxgkrnl!DxgkCreateHwContext
ffffe25a`69d83cb8  fffff802`2f979a60 dxgkrnl!DxgkCreateHwContext
ffffe25a`69d83cc0  fffff802`2fa6be70 dxgkrnl!DxgkCreateHwQueue
ffffe25a`69d83cc8  fffff802`2fa6c530 dxgkrnl!DxgkDestroyHwQueue
ffffe25a`69d83cd0  fffff802`2fa6c810 dxgkrnl!DxgkSubmitCommandToHwQueue
ffffe25a`69d83cd8  fffff802`2fa6edb0 dxgkrnl!DxgkSubmitWaitForSyncObjectsToHwQueue
ffffe25a`69d83ce0  fffff802`2fa6ed90 dxgkrnl!DxgkSubmitSignalSyncObjectsToHwQueue
ffffe25a`69d83ce8  fffff802`2fa2f160 dxgkrnl!DxgkGetAllocationPriority
ffffe25a`69d83cf0  fffff802`2f906de0 dxgkrnl!DxgkGetMultiPlaneOverlayCaps
ffffe25a`69d83cf8  fffff802`2f905c70 dxgkrnl!DxgkGetPostCompositionCaps
ffffe25a`69d83d00  fffff802`2fa80c80 dxgkrnl!DxgkSetYieldPercentage
ffffe25a`69d83d08  fffff802`2fa80360 dxgkrnl!DxgkSetProcessSchedulingPriorityBand
ffffe25a`69d83d10  fffff802`2fa800b0 dxgkrnl!DxgkSetMemoryBudgetTarget
ffffe25a`69d83d18  fffff802`2f997420 dxgkrnl!DxgkGetYieldPercentage
ffffe25a`69d83d20  fffff802`2fa7f9c0 dxgkrnl!DxgkGetProcessSchedulingPriorityBand
ffffe25a`69d83d28  fffff802`2f9976c0 dxgkrnl!DxgkGetMemoryBudgetTarget
ffffe25a`69d83d30  fffff802`2fa90160 dxgkrnl!DxgkConvertPathsModalityToDisplayConfig
ffffe25a`69d83d38  fffff802`2f9563b0 dxgkrnl!DxgkConvertDisplayConfigToDevMode
ffffe25a`69d83d40  fffff802`2f974540 dxgkrnl!DxgkDDisplayEnum
ffffe25a`69d83d48  fffff802`2f97d9c0 dxgkrnl!DxgkDispMgrCreate
ffffe25a`69d83d50  fffff802`2faac190 dxgkrnl!DxgkDispMgrTargetOperation
ffffe25a`69d83d58  fffff802`2faabf40 dxgkrnl!DxgkDispMgrSourceOperation
ffffe25a`69d83d60  fffff802`2fa81a40 dxgkrnl!DxgkCreateProtectedSession
ffffe25a`69d83d68  fffff802`2fa82480 dxgkrnl!DxgkDestroyProtectedSession
ffffe25a`69d83d70  fffff802`2fa82fb0 dxgkrnl!DxgkQueryProtectedSessionStatus
ffffe25a`69d83d78  fffff802`2fa82b40 dxgkrnl!DxgkQueryProtectedSessionInfoFromNtHandle
ffffe25a`69d83d80  fffff802`2fa82740 dxgkrnl!DxgkOpenProtectedSessionFromNtHandle
ffffe25a`69d83d88  fffff802`2fa1a8c0 dxgkrnl!DxgkSetMonitorColorSpaceTransform
ffffe25a`69d83d90  fffff802`2fa7c290 dxgkrnl!DxgkPresentRedirected
ffffe25a`69d83d98  fffff802`2fa715a0 dxgkrnl!DxgkCreateBundleObject
ffffe25a`69d83da0  fffff802`2fa721d0 dxgkrnl!DxgkExtractBundleObject
ffffe25a`69d83da8  fffff802`2fa902f0 dxgkrnl!DxgkGetMonitorDisplayId
ffffe25a`69d83db0  fffff802`2f976cb0 dxgkrnl!DxgkSetProcessDeviceRemovalSupport
ffffe25a`69d83db8  fffff802`2fa7f740 dxgkrnl!DxgkGetProcessDeviceRemovalSupport
ffffe25a`69d83dc0  fffff802`2fa8d680 dxgkrnl!DxgkEnumerateModesForPathsModality
